team,actual_pts,expected_pts_so_far,over_under,F_raw,expected_pts_remaining_baseline,Projection_baseline,Projection_F,Projection_F_winsor_shrink
Bayern Munich,12,6.0,6.0,2.0,5.5,17.5,20.833,19.219
Arsenal,15,7.75,7.25,1.935,3.75,18.75,21.011,19.922
Paris Saint-Germain,12,6.278,5.722,1.912,5.222,17.222,20.708,18.854
Real Madrid,12,6.75,5.25,1.778,4.75,16.75,19.543,18.234
Atalanta,10,6.083,3.917,1.644,5.417,15.417,18.297,17.109
Borussia Dortmund,10,6.583,3.417,1.519,4.917,14.917,17.468,16.453
Inter Milan,12,8.056,3.944,1.49,3.444,15.444,17.131,16.499
Chelsea,10,6.944,3.056,1.44,4.556,14.556,16.4,15.808
Manchester City,10,7.278,2.722,1.374,4.222,14.222,15.786,15.209
Atlético Madrid,9,6.583,2.417,1.367,4.917,13.917,15.722,15.045
Sporting CP,10,7.667,2.333,1.304,3.833,13.833,15.0,14.562
Liverpool,9,7.278,1.722,1.237,4.222,13.222,14.221,13.847
Bayer Leverkusen,8,6.667,1.333,1.2,4.833,12.833,13.8,13.438
Tottenham Hotspur,8,7.056,0.944,1.134,4.444,12.444,13.039,12.816
PSV Eindhoven,8,7.056,0.944,1.134,4.444,12.444,13.039,12.816
Newcastle United,9,8.056,0.944,1.117,3.444,12.444,12.848,12.697
Galatasaray,9,8.056,0.944,1.117,3.444,12.444,12.848,12.697
Barcelona,7,6.667,0.333,1.05,4.833,11.833,12.075,11.984
Napoli,7,7.333,-0.333,0.955,4.167,11.167,10.977,11.048
Juventus,6,6.472,-0.472,0.927,5.028,11.028,10.661,10.799
Qarabag,7,7.778,-0.778,0.9,3.722,10.722,10.35,10.49
Marseille,6,7.333,-1.333,0.818,4.167,10.167,9.409,9.693
Monaco,6,7.472,-1.472,0.803,4.028,10.028,9.234,9.532
Union Saint-Gilloise,6,7.778,-1.778,0.771,3.722,9.722,8.871,9.19
Pafos,6,8.056,-2.056,0.745,3.444,9.444,8.566,8.895
Club Brugge,4,6.778,-2.778,0.59,4.722,8.722,6.787,7.738
Athletic Bilbao,4,7.056,-3.056,0.567,4.444,8.444,6.52,7.519
Eintracht Frankfurt,4,7.389,-3.389,0.541,4.111,8.111,6.226,7.255
Copenhagen,4,8.056,-4.056,0.497,3.444,7.444,5.71,6.727
Slavia Prague,3,6.861,-3.861,0.437,4.639,7.639,5.028,6.672
Benfica,3,7.056,-4.056,0.425,4.444,7.444,4.89,6.519
Olympiacos,2,7.25,-5.25,0.276,4.25,6.25,3.172,5.365
Bodø/Glimt,2,8.333,-6.333,0.24,3.167,5.167,2.76,4.507
Villarreal,1,6.472,-5.472,0.155,5.028,6.028,1.777,4.98
Kairat,1,7.444,-6.444,0.134,4.056,5.056,1.545,4.211
Ajax,0,7.056,-7.056,0.0,4.444,4.444,0.0,3.519
