team,venue,opponent_pot,count,remaining,baseline_ep_per_game
Ajax,home,1,1.0,0.0,1.6111111111111112
Ajax,home,2,0.0,1.0,1.2222222222222223
Ajax,home,3,0.0,1.0,1.8888888888888888
Ajax,home,4,1.0,0.0,2.1944444444444446
Ajax,away,1,1.0,0.0,0.6111111111111112
Ajax,away,2,0.0,1.0,0.9444444444444444
Ajax,away,3,1.0,0.0,1.4166666666666667
Ajax,away,4,0.0,1.0,1.6111111111111112
Arsenal,home,1,0.0,1.0,1.6111111111111112
Arsenal,home,2,1.0,0.0,1.2222222222222223
Arsenal,home,3,1.0,0.0,1.8888888888888888
Arsenal,home,4,0.0,1.0,2.1944444444444446
Arsenal,away,1,0.0,1.0,0.6111111111111112
Arsenal,away,2,0.0,1.0,0.9444444444444444
Arsenal,away,3,1.0,0.0,1.4166666666666667
Arsenal,away,4,1.0,0.0,1.6111111111111112
Atalanta,home,1,0.0,1.0,1.6111111111111112
Atalanta,home,2,1.0,0.0,1.2222222222222223
Atalanta,home,3,1.0,0.0,1.8888888888888888
Atalanta,home,4,0.0,1.0,2.1944444444444446
Atalanta,away,1,1.0,0.0,0.6111111111111112
Atalanta,away,2,0.0,1.0,0.9444444444444444
Atalanta,away,3,1.0,0.0,1.4166666666666667
Atalanta,away,4,0.0,1.0,1.6111111111111112
Athletic Bilbao,home,1,0.0,1.0,1.6111111111111112
Athletic Bilbao,home,2,1.0,0.0,1.2222222222222223
Athletic Bilbao,home,3,0.0,1.0,1.8888888888888888
Athletic Bilbao,home,4,1.0,0.0,2.1944444444444446
Athletic Bilbao,away,1,1.0,0.0,0.6111111111111112
Athletic Bilbao,away,2,0.0,1.0,0.9444444444444444
Athletic Bilbao,away,3,0.0,1.0,1.4166666666666667
Athletic Bilbao,away,4,1.0,0.0,1.6111111111111112
Atlético Madrid,home,1,0.0,1.0,1.6111111111111112
Atlético Madrid,home,2,1.0,0.0,1.2222222222222223
Atlético Madrid,home,3,0.0,1.0,1.8888888888888888
Atlético Madrid,home,4,1.0,0.0,2.1944444444444446
Atlético Madrid,away,1,1.0,0.0,0.6111111111111112
Atlético Madrid,away,2,1.0,0.0,0.9444444444444444
Atlético Madrid,away,3,0.0,1.0,1.4166666666666667
Atlético Madrid,away,4,0.0,1.0,1.6111111111111112
Barcelona,home,1,1.0,0.0,1.6111111111111112
Barcelona,home,2,0.0,1.0,1.2222222222222223
Barcelona,home,3,1.0,0.0,1.8888888888888888
Barcelona,home,4,0.0,1.0,2.1944444444444446
Barcelona,away,1,0.0,1.0,0.6111111111111112
Barcelona,away,2,1.0,0.0,0.9444444444444444
Barcelona,away,3,0.0,1.0,1.4166666666666667
Barcelona,away,4,1.0,0.0,1.6111111111111112
Bayer Leverkusen,home,1,1.0,0.0,1.6111111111111112
Bayer Leverkusen,home,2,0.0,1.0,1.2222222222222223
Bayer Leverkusen,home,3,1.0,0.0,1.8888888888888888
Bayer Leverkusen,home,4,0.0,1.0,2.1944444444444446
Bayer Leverkusen,away,1,0.0,1.0,0.6111111111111112
Bayer Leverkusen,away,2,1.0,0.0,0.9444444444444444
Bayer Leverkusen,away,3,0.0,1.0,1.4166666666666667
Bayer Leverkusen,away,4,1.0,0.0,1.6111111111111112
Bayern Munich,home,1,1.0,0.0,1.6111111111111112
Bayern Munich,home,2,1.0,0.0,1.2222222222222223
Bayern Munich,home,3,0.0,1.0,1.8888888888888888
Bayern Munich,home,4,0.0,1.0,2.1944444444444446
Bayern Munich,away,1,1.0,0.0,0.6111111111111112
Bayern Munich,away,2,0.0,1.0,0.9444444444444444
Bayern Munich,away,3,0.0,1.0,1.4166666666666667
Bayern Munich,away,4,1.0,0.0,1.6111111111111112
Benfica,home,1,0.0,1.0,1.6111111111111112
Benfica,home,2,1.0,0.0,1.2222222222222223
Benfica,home,3,0.0,1.0,1.8888888888888888
Benfica,home,4,1.0,0.0,2.1944444444444446
Benfica,away,1,1.0,0.0,0.6111111111111112
Benfica,away,2,0.0,1.0,0.9444444444444444
Benfica,away,3,0.0,1.0,1.4166666666666667
Benfica,away,4,1.0,0.0,1.6111111111111112
Bodø/Glimt,home,1,0.0,1.0,1.6111111111111112
Bodø/Glimt,home,2,0.0,1.0,1.2222222222222223
Bodø/Glimt,home,3,1.0,0.0,1.8888888888888888
Bodø/Glimt,home,4,1.0,0.0,2.1944444444444446
Bodø/Glimt,away,1,0.0,1.0,0.6111111111111112
Bodø/Glimt,away,2,0.0,1.0,0.9444444444444444
Bodø/Glimt,away,3,1.0,0.0,1.4166666666666667
Bodø/Glimt,away,4,1.0,0.0,1.6111111111111112
Borussia Dortmund,home,1,0.0,1.0,1.6111111111111112
Borussia Dortmund,home,2,0.0,1.0,1.2222222222222223
Borussia Dortmund,home,3,0.0,1.0,1.8888888888888888
Borussia Dortmund,home,4,1.0,0.0,2.1944444444444446
Borussia Dortmund,away,1,1.0,0.0,0.6111111111111112
Borussia Dortmund,away,2,1.0,0.0,0.9444444444444444
Borussia Dortmund,away,3,0.0,1.0,1.4166666666666667
Borussia Dortmund,away,4,1.0,0.0,1.6111111111111112
Chelsea,home,1,0.0,1.0,1.6111111111111112
Chelsea,home,2,1.0,0.0,1.2222222222222223
Chelsea,home,3,1.0,0.0,1.8888888888888888
Chelsea,home,4,0.0,1.0,2.1944444444444446
Chelsea,away,1,1.0,0.0,0.6111111111111112
Chelsea,away,2,0.0,1.0,0.9444444444444444
Chelsea,away,3,0.0,1.0,1.4166666666666667
Chelsea,away,4,1.0,0.0,1.6111111111111112
Club Brugge,home,1,1.0,0.0,1.6111111111111112
Club Brugge,home,2,0.0,1.0,1.2222222222222223
Club Brugge,home,3,0.0,1.0,1.8888888888888888
Club Brugge,home,4,1.0,0.0,2.1944444444444446
Club Brugge,away,1,1.0,0.0,0.6111111111111112
Club Brugge,away,2,1.0,0.0,0.9444444444444444
Club Brugge,away,3,0.0,1.0,1.4166666666666667
Club Brugge,away,4,0.0,1.0,1.6111111111111112
Copenhagen,home,1,1.0,0.0,1.6111111111111112
Copenhagen,home,2,1.0,0.0,1.2222222222222223
Copenhagen,home,3,0.0,1.0,1.8888888888888888
Copenhagen,home,4,0.0,1.0,2.1944444444444446
Copenhagen,away,1,0.0,1.0,0.6111111111111112
Copenhagen,away,2,0.0,1.0,0.9444444444444444
Copenhagen,away,3,1.0,0.0,1.4166666666666667
Copenhagen,away,4,1.0,0.0,1.6111111111111112
Eintracht Frankfurt,home,1,1.0,0.0,1.6111111111111112
Eintracht Frankfurt,home,2,0.0,1.0,1.2222222222222223
Eintracht Frankfurt,home,3,0.0,1.0,1.8888888888888888
Eintracht Frankfurt,home,4,1.0,0.0,2.1944444444444446
Eintracht Frankfurt,away,1,0.0,1.0,0.6111111111111112
Eintracht Frankfurt,away,2,1.0,0.0,0.9444444444444444
Eintracht Frankfurt,away,3,1.0,0.0,1.4166666666666667
Eintracht Frankfurt,away,4,0.0,1.0,1.6111111111111112
Galatasaray,home,1,1.0,0.0,1.6111111111111112
Galatasaray,home,2,0.0,1.0,1.2222222222222223
Galatasaray,home,3,1.0,0.0,1.8888888888888888
Galatasaray,home,4,0.0,1.0,2.1944444444444446
Galatasaray,away,1,0.0,1.0,0.6111111111111112
Galatasaray,away,2,1.0,0.0,0.9444444444444444
Galatasaray,away,3,1.0,0.0,1.4166666666666667
Galatasaray,away,4,0.0,1.0,1.6111111111111112
Inter Milan,home,1,0.0,1.0,1.6111111111111112
Inter Milan,home,2,0.0,1.0,1.2222222222222223
Inter Milan,home,3,1.0,0.0,1.8888888888888888
Inter Milan,home,4,1.0,0.0,2.1944444444444446
Inter Milan,away,1,0.0,1.0,0.6111111111111112
