team,actual_pts,expected_pts_so_far,over_under,F_raw,expected_pts_remaining_baseline,Projection_baseline,Projection_F,Projection_F_winsor_shrink
Arsenal,18,8.694,9.306,2.07,2.806,20.806,22.265,21.84
Bayern Munich,15,7.889,7.111,1.901,3.611,18.611,20.694,19.948
Atalanta,13,7.694,5.306,1.69,3.806,16.806,18.722,18.215
Manchester City,13,7.889,5.111,1.648,3.611,16.611,18.335,17.948
Paris Saint-Germain,13,7.889,5.111,1.648,3.611,16.611,18.335,17.948
Liverpool,12,7.889,4.111,1.521,3.611,15.611,17.155,16.948
Atlético Madrid,12,8.0,4.0,1.5,3.5,15.5,17.25,16.812
Real Madrid,12,8.361,3.639,1.435,3.139,15.139,16.355,16.163
Borussia Dortmund,11,8.472,2.528,1.298,3.028,14.028,14.931,14.705
Chelsea,10,7.889,2.111,1.268,3.611,13.611,14.577,14.336
Barcelona,10,7.889,2.111,1.268,3.611,13.611,14.577,14.336
Inter Milan,12,9.667,2.333,1.241,1.833,13.833,14.276,14.165
Tottenham Hotspur,11,8.944,2.056,1.23,2.556,13.556,14.143,13.996
Sporting CP,10,8.278,1.722,1.208,3.222,13.222,13.893,13.725
Newcastle United,10,9.0,1.0,1.111,2.5,12.5,12.778,12.708
Juventus,9,8.667,0.333,1.038,2.833,11.833,11.942,11.915
Bayer Leverkusen,9,8.861,0.139,1.016,2.639,11.639,11.68,11.67
Marseille,9,8.944,0.056,1.006,2.556,11.556,11.571,11.567
PSV Eindhoven,8,8.278,-0.278,0.966,3.222,11.222,11.114,11.141
Monaco,9,9.667,-0.667,0.931,1.833,10.833,10.707,10.739
Galatasaray,9,9.667,-0.667,0.931,1.833,10.833,10.707,10.739
Napoli,7,8.278,-1.278,0.846,3.222,10.222,9.725,9.849
Copenhagen,7,9.0,-2.0,0.778,2.5,9.5,8.944,9.083
Qarabag,7,9.667,-2.667,0.724,1.833,8.833,8.328,8.454
Benfica,6,8.944,-2.944,0.671,2.556,8.556,7.714,7.925
Pafos,6,9.0,-3.0,0.667,2.5,8.5,7.667,7.875
Union Saint-Gilloise,6,9.667,-3.667,0.621,1.833,7.833,7.138,7.375
Athletic Bilbao,5,8.667,-3.667,0.577,2.833,7.833,6.635,7.125
Olympiacos,5,8.861,-3.861,0.564,2.639,7.639,6.489,6.979
Club Brugge,4,8.0,-4.0,0.5,3.5,7.5,5.75,6.625
Eintracht Frankfurt,4,8.0,-4.0,0.5,3.5,7.5,5.75,6.625
Slavia Prague,3,8.278,-5.278,0.362,3.222,6.222,4.168,5.417
Ajax,3,8.667,-5.667,0.346,2.833,5.833,3.981,5.125
Bodø/Glimt,3,8.944,-5.944,0.335,2.556,5.556,3.857,4.917
Villarreal,1,8.667,-7.667,0.115,2.833,3.833,1.327,3.125
Kairat,1,9.333,-8.333,0.107,2.167,3.167,1.232,2.625
